phase,dataset,split,protocol,model,seed,config_tag,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std,ece_mean,ece_std
PHASE2_REPRO,A,S1,P0,extratrees,1005,PHASE2_REPRO,0.951288311988353,0.0127631841863221,0.538668913493518,0.027819633961819676,0.01791853395303259,0.0005828535217278759,0.010230060892527376,0.0026726124341466847
PHASE2_REPRO,A,S1,P0,extratrees,1006,PHASE2_REPRO,0.9503593188671825,0.012268926424674444,0.5406875955368551,0.02920700326049703,0.017658113711453934,0.0001866362340450404,0.010590502964616881,0.001664688381325246
PHASE2_REPRO,A,S1,P0,extratrees,1007,PHASE2_REPRO,0.9541959711686763,0.00709653597301978,0.5455712624003612,0.03455307315427829,0.017885134012077517,0.0006081992381276137,0.01110655843768445,0.0018663785376610176
PHASE2_REPRO,A,S1,P0,extratrees,1008,PHASE2_REPRO,0.9501097580655531,0.0026919674157500264,0.5422771990371789,0.0576817549729275,0.017789080053939678,0.0010404389523268722,0.010784742931552715,0.0019993202802922375
PHASE2_REPRO,A,S1,P0,extratrees,1009,PHASE2_REPRO,0.949961757740226,0.004603159953056972,0.5496646144754076,0.03770744189056739,0.01775023391872769,0.0006971016348183133,0.011218871948575659,0.002635879900428373
PHASE2_REPRO,A,S1,P0,extratrees,1010,PHASE2_REPRO,0.9464561901320068,0.015215712859574413,0.5360564911083643,0.03816188956301162,0.017861412303937833,0.0006456471702566449,0.010141140903954671,0.0025975302602461586
PHASE2_REPRO,A,S1,P0,extratrees,1011,PHASE2_REPRO,0.9488904832422328,0.006760471146808741,0.5440080133979565,0.037749708324328356,0.017810139431459763,0.0008963446130458297,0.010513087684304378,0.002709103149110697
PHASE2_REPRO,A,S1,P0,extratrees,1012,PHASE2_REPRO,0.9486687783131428,0.010587175802011562,0.5398224344016418,0.058385732716816706,0.018012352259751462,0.0008852271725031464,0.011944902045428937,0.003916807680411076
PHASE2_REPRO,A,S1,P0,extratrees,1013,PHASE2_REPRO,0.9482578320571277,0.010226543331237403,0.5337219304140902,0.08106639970700032,0.018369596111409394,0.0010981603891811352,0.013040400315294524,0.00453048954276872
PHASE2_REPRO,A,S1,P0,extratrees,1014,PHASE2_REPRO,0.951758332016414,0.005554983563207494,0.5363349264923418,0.06706438926533616,0.01780704910134413,0.0009994896439993787,0.010871704284154607,0.0015368948598731536
PHASE2_REPRO,A,S1,P0,extratrees,1015,PHASE2_REPRO,0.9473227375281847,0.014232869202605093,0.5493833026885296,0.056575764381793466,0.01755145000399753,0.0008086058050801955,0.010325380695600845,0.003970714726401642
PHASE2_REPRO,A,S1,P0,extratrees,1016,PHASE2_REPRO,0.9511868654634397,0.009922094177702083,0.5367879651938913,0.0775615934232675,0.017936591776448275,0.001149925210593459,0.011059106776768681,0.0034136240951275544
PHASE2_REPRO,A,S1,P0,extratrees,1017,PHASE2_REPRO,0.9483852953980486,0.008103376883720353,0.5416485688230985,0.02864446288979266,0.01771806455586387,0.000270494042750695,0.010331489163926472,0.00328912445044954
PHASE2_REPRO,A,S1,P0,extratrees,1018,PHASE2_REPRO,0.9463030636277093,0.007853006807809468,0.5384518419741469,0.03937814036205159,0.017954167848280075,0.0004070401518476418,0.011507354740322516,0.003625735564407036
PHASE2_REPRO,A,S1,P0,extratrees,1019,PHASE2_REPRO,0.9508524223687,0.00657146202034821,0.5356309770185678,0.047905947272784466,0.01804723906205518,0.0011162149378664285,0.011679546682522567,0.002166961492895814
PHASE2_REPRO,A,S1,P0,extratrees,1020,PHASE2_REPRO,0.9498375135409892,0.009575783327009061,0.5346646094272949,0.06751233665588623,0.018150743637333357,0.0010983670538619072,0.01250805045535169,0.0031036639345402065
PHASE2_REPRO,A,S1,P0,lr_l2,1001,PHASE2_REPRO,0.9161212181425293,0.01620932455617316,0.46805578773366047,0.05389757867737966,0.017744577119730476,0.000989431569796413,0.005292966145058957,0.0022681486614300576
PHASE2_REPRO,A,S1,P0,lr_l2,1002,PHASE2_REPRO,0.9156099274024546,0.018181259307080106,0.47532044530540496,0.055696255736106134,0.017635334387876754,0.0013210831858585738,0.005008406526029557,0.001019195196941984
PHASE2_REPRO,A,S1,P0,lr_l2,1003,PHASE2_REPRO,0.9200585115102264,0.0023240222408565728,0.4678531988768597,0.043319011166347024,0.01780312102561678,0.0010942127184456888,0.004777902213965976,0.0008230069154053958
PHASE2_REPRO,A,S1,P0,lr_l2,1004,PHASE2_REPRO,0.9152315952640617,0.01581109087784805,0.47565748901455673,0.062326928942792834,0.017757985965844224,0.0011245595630111043,0.005436378784106307,0.00088544634125613
PHASE2_REPRO,A,S1,P0,lr_l2,1005,PHASE2_REPRO,0.9179547068748397,0.02094111296824287,0.47660418691175765,0.017521427060184638,0.01771531982690095,0.0005275781004746273,0.005167511315813322,0.0012664870997365564
PHASE2_REPRO,A,S1,P0,lr_l2,1006,PHASE2_REPRO,0.9181377087756083,0.010725037188285916,0.47616808063544713,0.02152152837725647,0.017610730657198585,0.000437905239377117,0.003891233116899719,0.0007156523311033669
