timestamp,phase,dataset,split,protocol,model,seed,config_tag,fold,n_train,n_test,prevalence_test,auroc,ap,brier,ece,best_params
2026-02-27 03:46:33,PHASE2_REPRO,A,S2,P0,xgb,1013,PHASE2_REPRO,5,11265,2816,0.028764204545454544,0.9629629629629629,0.6956752836954923,0.015163119284434739,0.008837733722215675,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
2026-02-27 03:47:05,PHASE2_REPRO,A,S2,P0,extratrees,1013,PHASE2_REPRO,1,11264,2817,0.020589279375221866,0.9522596892927222,0.3928389540677931,0.015755322841478323,0.009712460063897765,"{""clf__max_depth"": null}"
2026-02-27 03:47:31,PHASE2_REPRO,A,S2,P0,extratrees,1013,PHASE2_REPRO,2,11265,2816,0.026633522727272728,0.9479216830840326,0.49629173964923934,0.019445225243814968,0.012843179583802936,"{""clf__max_depth"": 12}"
2026-02-27 03:47:59,PHASE2_REPRO,A,S2,P0,extratrees,1013,PHASE2_REPRO,3,11265,2816,0.024857954545454544,0.9514566642388929,0.5711909011327176,0.01676763237847222,0.012154947916666662,"{""clf__max_depth"": null}"
2026-02-27 03:48:28,PHASE2_REPRO,A,S2,P0,extratrees,1013,PHASE2_REPRO,4,11265,2816,0.026278409090909092,0.9545237250379481,0.5506017751119647,0.018107360716540403,0.011631155303030305,"{""clf__max_depth"": null}"
2026-02-27 03:48:53,PHASE2_REPRO,A,S2,P0,extratrees,1013,PHASE2_REPRO,5,11265,2816,0.028764204545454544,0.9490283702349516,0.6304274443372536,0.019264430266800206,0.014745308979006933,"{""clf__max_depth"": 12}"
2026-02-27 03:48:54,PHASE2_REPRO,A,S2,P0,lr_l2,1014,PHASE2_REPRO,1,11264,2817,0.020589279375221866,0.9020447188511579,0.3635581153094687,0.016338969214898677,0.0074131893807665656,"{""clf__C"": 0.1}"
2026-02-27 03:48:56,PHASE2_REPRO,A,S2,P0,lr_l2,1014,PHASE2_REPRO,2,11265,2816,0.026633522727272728,0.9324285540556975,0.4204409468137412,0.020313566458316223,0.007768902861700038,"{""clf__C"": 10.0}"
2026-02-27 03:48:57,PHASE2_REPRO,A,S2,P0,lr_l2,1014,PHASE2_REPRO,3,11265,2816,0.024857954545454544,0.8743835188846114,0.4426722632319767,0.017708603998693954,0.003997032170307685,"{""clf__C"": 1.0}"
2026-02-27 03:48:58,PHASE2_REPRO,A,S2,P0,lr_l2,1014,PHASE2_REPRO,4,11265,2816,0.026278409090909092,0.9333540323693497,0.49004692756871276,0.017903146703738996,0.004168033218216103,"{""clf__C"": 1.0}"
2026-02-27 03:49:00,PHASE2_REPRO,A,S2,P0,lr_l2,1014,PHASE2_REPRO,5,11265,2816,0.028764204545454544,0.9215970388426208,0.5792080651698284,0.017578158104839144,0.003973217163764648,"{""clf__C"": 0.1}"
2026-02-27 03:49:01,PHASE2_REPRO,A,S2,P0,svm_linear_cal,1014,PHASE2_REPRO,1,11264,2817,0.020589279375221866,0.8986326880053993,0.36403381662331125,0.016033015261817933,0.008230991633530133,"{""clf__C"": 0.1}"
2026-02-27 03:49:02,PHASE2_REPRO,A,S2,P0,svm_linear_cal,1014,PHASE2_REPRO,2,11265,2816,0.026633522727272728,0.9336349264258786,0.43455285765374474,0.020164091167468697,0.008821482455359797,"{""clf__C"": 1.0}"
2026-02-27 03:49:04,PHASE2_REPRO,A,S2,P0,svm_linear_cal,1014,PHASE2_REPRO,3,11265,2816,0.024857954545454544,0.8634533347206327,0.4639316120451345,0.017229625616323598,0.006454512812654904,"{""clf__C"": 0.1}"
2026-02-27 03:49:05,PHASE2_REPRO,A,S2,P0,svm_linear_cal,1014,PHASE2_REPRO,4,11265,2816,0.026278409090909092,0.929327577029984,0.5021309532415255,0.017766621107854402,0.005257081203063582,"{""clf__C"": 0.1}"
2026-02-27 03:49:06,PHASE2_REPRO,A,S2,P0,svm_linear_cal,1014,PHASE2_REPRO,5,11265,2816,0.028764204545454544,0.9143837316902521,0.5646365902943896,0.017901455008031284,0.004218780256548647,"{""clf__C"": 1.0}"
2026-02-27 03:49:54,PHASE2_REPRO,A,S2,P0,rf,1014,PHASE2_REPRO,1,11264,2817,0.020589279375221866,0.9481133844096435,0.4590708824607325,0.014977154050611079,0.008365319385776946,"{""clf__max_depth"": 12}"
2026-02-27 03:50:41,PHASE2_REPRO,A,S2,P0,rf,1014,PHASE2_REPRO,2,11265,2816,0.026633522727272728,0.9547123920710202,0.5511560220652232,0.018011171284270402,0.011305307811614993,"{""clf__max_depth"": 12}"
2026-02-27 03:51:28,PHASE2_REPRO,A,S2,P0,rf,1014,PHASE2_REPRO,3,11265,2816,0.024857954545454544,0.9497867027364478,0.5481129917677803,0.01653958393653929,0.007627956867691399,"{""clf__max_depth"": 12}"
2026-02-27 03:52:15,PHASE2_REPRO,A,S2,P0,rf,1014,PHASE2_REPRO,4,11265,2816,0.026278409090909092,0.9501793916454748,0.5661174442960366,0.017620518482030847,0.00849333985518476,"{""clf__max_depth"": 12}"
2026-02-27 03:52:57,PHASE2_REPRO,A,S2,P0,rf,1014,PHASE2_REPRO,5,11265,2816,0.028764204545454544,0.9495203918116776,0.6238376233560985,0.018762573606629303,0.011047678685265966,"{""clf__max_depth"": 6}"
2026-02-27 03:53:09,PHASE2_REPRO,A,S2,P0,xgb,1014,PHASE2_REPRO,1,11264,2817,0.020589279375221866,0.96575470872755,0.48706805713954066,0.01490659502784917,0.006729644506812337,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
2026-02-27 03:53:22,PHASE2_REPRO,A,S2,P0,xgb,1014,PHASE2_REPRO,2,11265,2816,0.026633522727272728,0.9610263893955977,0.5987631026425415,0.01637245862563641,0.009806621884022058,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 5}"
2026-02-27 03:53:34,PHASE2_REPRO,A,S2,P0,xgb,1014,PHASE2_REPRO,3,11265,2816,0.024857954545454544,0.9466496722505462,0.5445137071079501,0.016591813895864026,0.012111046056385435,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 5}"
2026-02-27 03:53:47,PHASE2_REPRO,A,S2,P0,xgb,1014,PHASE2_REPRO,4,11265,2816,0.026278409090909092,0.9629092987955132,0.5837274922950775,0.01611141811217068,0.0034624698752271452,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
2026-02-27 03:53:59,PHASE2_REPRO,A,S2,P0,xgb,1014,PHASE2_REPRO,5,11265,2816,0.028764204545454544,0.9539756697587288,0.6612753630680117,0.015633024844065833,0.010469231594680908,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 4}"
2026-02-27 03:54:33,PHASE2_REPRO,A,S2,P0,extratrees,1014,PHASE2_REPRO,1,11264,2817,0.020589279375221866,0.9488914024321655,0.4216518646764429,0.015576924821520136,0.009160454384096559,"{""clf__max_depth"": null}"
2026-02-27 03:54:59,PHASE2_REPRO,A,S2,P0,extratrees,1014,PHASE2_REPRO,2,11265,2816,0.026633522727272728,0.9407904657667518,0.48911631946427625,0.019562045049692497,0.012297247080364218,"{""clf__max_depth"": 12}"
2026-02-27 03:55:28,PHASE2_REPRO,A,S2,P0,extratrees,1014,PHASE2_REPRO,3,11265,2816,0.024857954545454544,0.9437493497034648,0.5315036683150836,0.017391871843434343,0.007993607954545455,"{""clf__max_depth"": null}"
2026-02-27 03:55:56,PHASE2_REPRO,A,S2,P0,extratrees,1014,PHASE2_REPRO,4,11265,2816,0.026278409090909092,0.9496274173517063,0.5430941416012874,0.018310581399936868,0.011711055871212121,"{""clf__max_depth"": null}"
2026-02-27 03:56:22,PHASE2_REPRO,A,S2,P0,extratrees,1014,PHASE2_REPRO,5,11265,2816,0.028764204545454544,0.948969688762498,0.6353215790747693,0.019159865908678728,0.013935943701415633,"{""clf__max_depth"": 12}"
2026-02-27 03:56:24,PHASE2_REPRO,A,S2,P0,lr_l2,1015,PHASE2_REPRO,1,11264,2817,0.020589279375221866,0.905094299533814,0.3588904084642145,0.01648397404370128,0.008951319796915299,"{""clf__C"": 10.0}"
2026-02-27 03:56:25,PHASE2_REPRO,A,S2,P0,lr_l2,1015,PHASE2_REPRO,2,11265,2816,0.026633522727272728,0.9347099598686611,0.4192515515899139,0.019839946461141456,0.006233697966253372,"{""clf__C"": 1.0}"
2026-02-27 03:56:26,PHASE2_REPRO,A,S2,P0,lr_l2,1015,PHASE2_REPRO,3,11265,2816,0.024857954545454544,0.8869160337113725,0.4290826381984191,0.017749218492227794,0.003326461787176714,"{""clf__C"": 1.0}"
2026-02-27 03:56:27,PHASE2_REPRO,A,S2,P0,lr_l2,1015,PHASE2_REPRO,4,11265,2816,0.026278409090909092,0.93255071263824,0.48086646631037955,0.018062818482098966,0.009221796649005222,"{""clf__C"": 0.1}"
2026-02-27 03:56:28,PHASE2_REPRO,A,S2,P0,lr_l2,1015,PHASE2_REPRO,5,11265,2816,0.028764204545454544,0.9253165414042928,0.5841271217885728,0.01844138117694771,0.008659182434027309,"{""clf__C"": 0.1}"
2026-02-27 03:56:30,PHASE2_REPRO,A,S2,P0,svm_linear_cal,1015,PHASE2_REPRO,1,11264,2817,0.020589279375221866,0.8939833272924973,0.35863516736404316,0.016188073497106017,0.010411170077989003,"{""clf__C"": 1.0}"
2026-02-27 03:56:31,PHASE2_REPRO,A,S2,P0,svm_linear_cal,1015,PHASE2_REPRO,2,11265,2816,0.026633522727272728,0.9310762495439621,0.44976887154155165,0.019382546679082714,0.008232732979853389,"{""clf__C"": 0.1}"
